Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Apoptosis	9/161	0.65904296126835937297272494106437079608440399169921875	0.99999978019658997130392208418925292789936065673828125	0.6073594492534242217374185202061198651790618896484375	0.9920437642947199652354584031854756176471710205078125	5.587990241150621	-2.330005040217823	bcl2l1;pik3r3b;actb1;pik3r1;tuba8l4;tp53;birc2;dab2ipb;dab2ipa
AGE-RAGE signaling pathway in diabetic complications	7/123	0.63368901405269506543760371641837991774082183837890625	0.99999978019658997130392208418925292789936065673828125	0.5883393922255180097380389270256273448467254638671875	0.9920437642947199652354584031854756176471710205078125	5.496266095975763	-2.507379878832246	plcd1b;tgfbr2b;smad2;plcd1a;pik3r3b;pik3r1;plce1
NOD-like receptor signaling pathway	9/148	0.55780532543164207393004971891059540212154388427734375	0.99999978019658997130392208418925292789936065673828125	0.50962478337872785250084461949882097542285919189453125	0.969122538884138240433685496100224554538726806640625	4.5119424681773665	-2.6338250139773303	bcl2l1;hsp90ab1;map3k7;tp53bp1;birc2;rbck1;mfn2;hsp90aa1.2;trpm2
Peroxisome	4/87	0.78769513497633047993673471864894963800907135009765625	0.99999978019658997130392208418925292789936065673828125	0.75188578752679580130546810323721729218959808349609375	0.9920437642947199652354584031854756176471710205078125	12.395873759423901	-2.9582027386179255	acsl1b;acsl1a;idh1;acsl5
Adrenergic signaling in cardiomyocytes	21/202	0.0124607057451089388300236038276125327683985233306884765625	0.180680233304079618239512683430803008377552032470703125	0.01165718211448758985515627983886588481254875659942626953125	0.1690291406600700485629573677215375937521457672119140625	0.7418744043671606	-3.2532491849195013	gnai2b;crema;ppp2r3b;ppp2r3a;tpma;tpm4a;atp2b3a;cacnb1;creb3l3l;scn1ba;ppp2r2ab;ppp2r2bb;pik3r5;atf7b;tpm3;ppp2r5cb;tpm2;gna11a;gnai3;cacng6a;atp1a1a.2
Apelin signaling pathway	13/175	0.275911071072018676542114690164453350007534027099609375	0.8650184930906530400562814975273795425891876220703125	0.2436348961919950484311669924863963387906551361083984375	0.80511832384228043668628060913761146366596221923828125	2.7070800479327795	-3.4858438254582786	gnai2b;slc8a1b;rras;prkag2a;mef2d;smad2;pik3r5;gna11a;mef2aa;gnai3;mef2ca;mef2cb;hdac4
VEGF signaling pathway	5/76	0.50111241266667316818228528063627891242504119873046875	0.99999978019658997130392208418925292789936065673828125	0.47002289307841405019416924915276467800140380859375	0.94821722754985982017927881315699778497219085693359375	5.26404304909059	-3.6370580303064153	shc2;pik3r3b;pik3r1;hspb1;ptk2ab
Focal adhesion	24/234	0.00933162914190877219866582237273178179748356342315673828125	0.1546384257802025097294773559042369015514850616455078125	0.0084110666184582551230253244511914090253412723541259765625	0.1487581207780870606871559402861748822033405303955078125	0.8253447577082069	-3.8579466912196008	pik3r3b;actb1;grb2b;tnc;itgb1a;pdgfc;flna;bcar1;birc2;itgb6;sos2;thbs1b;shc2;itga4;itgb4;ccnd2a;parvb;cav1;pik3r1;zyx;col9a1b;ptk2ab;pak2a;crkl
Cellular senescence	11/184	0.57727700385226621282441783478134311735630035400390625	0.99999978019658997130392208418925292789936065673828125	0.52274272443047375968916412602993659675121307373046875	0.9780347747408864034213138438644818961620330810546875	7.035555784310426	-3.865566884790648	tgfbr2b;smad2;rbl2;ccnd2a;pik3r3b;pik3r1;rras;cdkn1a;ccne1;tp53;mdm2
Spliceosome	9/134	0.437343740784183532266382599118514917790889739990234375	0.9947426260973586398250745332916267216205596923828125	0.397743559464734330877178081209422089159488677978515625	0.9268980862607902881933341632247902452945709228515625	5.041822657155825	-4.169767839279619	ppil1;snrpa;acin1b;hspa8;sf3a1;ddx5;hnrnpm;hnrnpa1b;acin1a
Ribosome biogenesis in eukaryotes	3/77	0.858258837555151643528006388805806636810302734375	0.99999978019658997130392208418925292789936065673828125	0.82924573359338082934044678040663711726665496826171875	0.9920437642947199652354584031854756176471710205078125	30.45380881160165	-4.654850957926069	nop56;ran;nhp2
Ubiquitin mediated proteolysis	10/142	0.371310121216147537293039704309194348752498626708984375	0.9718776790613061766777036609710194170475006103515625	0.335204706866571500167850672369240783154964447021484375	0.88372149992096116211115486294147558510303497314453125	4.844004682127313	-4.7990409803482	ube2q1;siah1;socs3b;wwp2;fbxw7;uba1;trip12;birc2;ube2e1;mdm2
Phagosome	6/152	0.909761406713645470745177590288221836090087890625	0.99999978019658997130392208418925292789936065673828125	0.879709809572556622470074216835200786590576171875	0.9920437642947199652354584031854756176471710205078125	50.95320700782219	-4.818792768790076	pla2r1;actb1;itgb1a;tuba8l4;pikfyve;thbs1b
Toll-like receptor signaling pathway	5/96	0.7074594611345117467493537333211861550807952880859375	0.99999978019658997130392208418925292789936065673828125	0.667356177957705742898042444721795618534088134765625	0.9920437642947199652354584031854756176471710205078125	20.621867781594755	-7.136711858456326	pik3r3b;tollip;pik3r1;map2k7;map3k7
Protein processing in endoplasmic reticulum	8/176	0.851440761608028839901862738770432770252227783203125	0.99999978019658997130392208418925292789936065673828125	0.80978403560436940100686342702829279005527496337890625	0.9920437642947199652354584031854756176471710205078125	46.97442913086684	-7.554679041519527	man1a2;hspa8;pdia6;hsp90ab1;map2k7;prkcsh;sec24c;hsp90aa1.2
Oocyte meiosis	7/138	0.7480097297099950193199902059859596192836761474609375	0.99999978019658997130392208418925292789936065673828125	0.70208900927689976700918350616120733320713043212890625	0.9920437642947199652354584031854756176471710205078125	31.59209716022929	-9.17242716837563	ppp2r5cb;insb;rps6kal;fbxo43;ccne1;cpeb4a;cpeb3
RNA transport	9/158	0.6368852857856002191994093664106912910938262939453125	0.99999978019658997130392208418925292789936065673828125	0.5856192160880306918357973700040020048618316650390625	0.9920437642947199652354584031854756176471710205078125	22.135675749903072	-9.986858192230367	nup50;acin1b;sumo3a;tgs1;eef1a1l2;eif5;eif4g1a;acin1a;ran
Regulation of actin cytoskeleton	25/261	0.0179953390071953822637595976630109362304210662841796875	0.208745932483466456464071825394057668745517730712890625	0.01524103917306625539940245772640992072410881519317626953125	0.187099328154724187101010102196596562862396240234375	4.536846775454871	-18.22742841498728	insb;rras;ezrb;itgb6;sos2;ssh1a;itgb4;limk2;tiam1a;pak2a;pik3r3b;actb1;itgb1a;pdgfc;arhgef6;bcar1;arhgef4;pikfyve;arhgef7a;itga4;pik3r1;ssh2a;ptk2ab;crkl;enah
Tight junction	18/211	0.097324379686759165952736339022521860897541046142578125	0.594190949666529633077516336925327777862548828125	0.083972974529673949373176355948089621961116790771484375	0.5411591691912320811752579174935817718505859375	8.087165536715286	-18.840716125946372	magi1b;smyhc1;actb1;map2k7;itgb1a;ezrb;tuba8l4;si:ch211-191a24.4;rapgef2;prkag2a;tjp3;ppp2r2ab;ppp2r2bb;tiam1a;dlg3;myh9b;tjp2a;tjp1b
MAPK signaling pathway	29/362	0.0846078535536463893773628797134733758866786956787109375	0.5452506117901656512714225755189545452594757080078125	0.0644452345675123050572352667586528696119785308837890625	0.46722795061446420472606178009300492703914642333984375	14.017543859649125	-34.6195231557027	insb;rps6kal;rras;map2k7;map3k7;flna;map3k4;sos2;hspa8;atf7b;bdnf;relb;dusp8a;cacng6a;pak2a;nr4a1;mapta;maptb;grb2b;pdgfc;tp53;rapgef2;cacnb1;tgfbr2b;hspb1;mef2ca;mef2cb;nfkb2;crkl
Endocytosis	20/302	0.3918114497145712693537689119693823158740997314453125	0.9718776790613061766777036609710194170475006103515625	0.3313729747124189994877951903617940843105316162109375	0.88372149992096116211115486294147558510303497314453125	37.67232824672997	-35.298012826521685	arf2a;cltcb;vps36;mdm2;tgfbr2b;smad2;hspa8;rab11fip4a;vps4b;cyth1b;cav1;grk5l;cyth3a;ap2b1;rab11fip1a;acap3a;asap1a;asap1b;agap1;iqsec1b
